Id;CalculationDate;Variable;Value
9597;2019-07-16;TurnoverRealization;1.241423249
9663;2019-07-16;PredictionOfOrdersValue;74668192
9686;2019-07-17;TurnoverRealization;1.240345359
9752;2019-07-17;PredictionOfOrdersValue;75964160
9775;2019-07-18;TurnoverRealization;1.234892368
9841;2019-07-18;PredictionOfOrdersValue;76173168
9864;2019-07-19;TurnoverRealization;1.232128263
9930;2019-07-19;PredictionOfOrdersValue;76780080
9953;2019-07-20;TurnoverRealization;1.227404833
10019;2019-07-20;PredictionOfOrdersValue;78376640
10042;2019-07-21;TurnoverRealization;1.204463482
10108;2019-07-21;PredictionOfOrdersValue;77894176
10131;2019-07-22;TurnoverRealization;1.217593074
10197;2019-07-22;PredictionOfOrdersValue;78460144
10220;2019-07-23;TurnoverRealization;1.211584568
10286;2019-07-23;PredictionOfOrdersValue;78587136
10309;2019-07-24;TurnoverRealization;1.207887769
10375;2019-07-24;PredictionOfOrdersValue;79221608
10487;2019-07-25;TurnoverRealization;1.207321882
10553;2019-07-25;PredictionOfOrdersValue;77175120
10576;2019-07-26;TurnoverRealization;1.21088016
10642;2019-07-26;PredictionOfOrdersValue;77349848
10665;2019-07-27;TurnoverRealization;1.209128618
10731;2019-07-27;PredictionOfOrdersValue;77613232
10754;2019-07-28;TurnoverRealization;1.203004837
10820;2019-07-28;PredictionOfOrdersValue;77613232
10843;2019-07-29;TurnoverRealization;1.196942806
10909;2019-07-29;PredictionOfOrdersValue;77613232
10932;2019-07-30;TurnoverRealization;1.192611337
10998;2019-07-30;PredictionOfOrdersValue;77739408
11021;2019-07-31;TurnoverRealization;1.189942598
11087;2019-07-31;PredictionOfOrdersValue;77924472
11110;2019-08-01;TurnoverRealization;1.198622227
11176;2019-08-01;PredictionOfOrdersValue;79413456
11200;2019-08-02;TurnoverRealization;1.214498043
11265;2019-08-02;PredictionOfOrdersValue;80203864
11289;2019-08-03;TurnoverRealization;1.212528586
11354;2019-08-03;PredictionOfOrdersValue;80358912
11378;2019-08-04;TurnoverRealization;1.20649159
11443;2019-08-04;PredictionOfOrdersValue;80695408
11467;2019-08-05;TurnoverRealization;1.200514436
11532;2019-08-05;PredictionOfOrdersValue;80695408
11645;2019-08-06;TurnoverRealization;1.20331192
11710;2019-08-06;PredictionOfOrdersValue;81195712
11734;2019-08-07;TurnoverRealization;1.203662276
11799;2019-08-07;PredictionOfOrdersValue;81342800
11823;2019-08-08;TurnoverRealization;1.202529073
11888;2019-08-08;PredictionOfOrdersValue;82054464
11912;2019-08-09;TurnoverRealization;0.127432913
11977;2019-08-09;PredictionOfOrdersValue;47455116
12001;2019-08-10;TurnoverRealization;1.197637796
12066;2019-08-10;PredictionOfOrdersValue;82360768
12090;2019-08-11;TurnoverRealization;1.191875815
12155;2019-08-11;PredictionOfOrdersValue;82360768
12179;2019-08-12;TurnoverRealization;1.18616879
12244;2019-08-12;PredictionOfOrdersValue;82360768
12268;2019-08-13;TurnoverRealization;1.183485508
12333;2019-08-13;PredictionOfOrdersValue;83080000
12357;2019-08-14;TurnoverRealization;1.18774116
12422;2019-08-14;PredictionOfOrdersValue;83137352
12446;2019-08-15;TurnoverRealization;1.182134628
12511;2019-08-15;PredictionOfOrdersValue;82568656
12535;2019-08-16;TurnoverRealization;1.187124848
12600;2019-08-16;PredictionOfOrdersValue;82827296
12624;2019-08-17;TurnoverRealization;1.185145378
12689;2019-08-17;PredictionOfOrdersValue;82696856
12713;2019-08-18;TurnoverRealization;1.179629207
12778;2019-08-18;PredictionOfOrdersValue;82685080
12802;2019-08-19;TurnoverRealization;1.174164176
12867;2019-08-19;PredictionOfOrdersValue;82685080
12891;2019-08-20;TurnoverRealization;1.173307657
12956;2019-08-20;PredictionOfOrdersValue;82957888
13189;2019-08-21;TurnoverRealization;1.16970849
13264;2019-08-21;PredictionOfOrdersValue;83127760
13288;2019-08-22;TurnoverRealization;1.177437186
13363;2019-08-22;PredictionOfOrdersValue;83376496
13387;2019-08-23;TurnoverRealization;1.17460835
13462;2019-08-23;PredictionOfOrdersValue;83349248
13486;2019-08-24;TurnoverRealization;1.181631684
13561;2019-08-24;PredictionOfOrdersValue;83794136
13585;2019-08-25;TurnoverRealization;1.176305413
